0 qid:1 1:1.0 2:1.0 3:1.0 4:1.0 5:8.79258 6:1.0
0 qid:1 1:0.5714286 2:0.61904764 3:0.0 4:0.0 5:8.01914 6:0.61904764
0 qid:1 1:0.5714286 2:0.60465115 3:0.0 4:0.0 5:7.43268 6:0.60465115
0 qid:1 1:0.6666667 2:0.7428571 3:0.0 4:0.0 5:7.35513 6:0.7428571
0 qid:1 1:0.85714287 2:0.8666667 3:0.0 4:1.0 5:6.64381 6:0.8666667
0 qid:1 1:0.75 2:0.5531915 3:0.0 4:1.0 5:6.64381 6:0.5531915
0 qid:1 1:0.85714287 2:0.8125 3:0.0 4:1.0 5:4.79017 6:0.8125
0 qid:1 1:0.75 2:0.61904764 3:0.0 4:1.0 5:4.6884 6:0.61904764
0 qid:1 1:0.5714286 2:0.61904764 3:0.0 4:0.0 5:4.00032 6:0.61904764
0 qid:1 1:0.75 2:0.61904764 3:0.0 4:1.0 5:4.00032 6:0.61904764
0 qid:1 1:0.6666667 2:0.63414633 3:0.0 4:1.0 5:4.00032 6:0.63414633
0 qid:1 1:0.6 2:0.41935486 3:0.0 4:1.0 5:5.88129E-14 6:0.41935486
