0 qid:1 1:1.0 2:1.0 3:1.0 4:1.0 5:10.1278 6:1.0
0 qid:1 1:0.6666667 2:0.5625 3:0.0 4:1.0 5:10.0035 6:0.5625
0 qid:1 1:0.5 2:0.3 3:0.0 4:1.0 5:9.90966 6:0.3
0 qid:1 1:0.5 2:0.25 3:0.0 4:1.0 5:9.88385 6:0.25
0 qid:1 1:0.5 2:0.36 3:0.0 4:1.0 5:9.65894 6:0.36
0 qid:1 1:0.6666667 2:0.45 3:0.0 4:1.0 5:9.65405 6:0.45
0 qid:1 1:0.33333334 2:0.28125 3:0.0 4:1.0 5:9.6411 6:0.28125
0 qid:1 1:0.0 2:0.25 3:0.0 4:0.0 5:9.53534 6:0.25
0 qid:1 1:0.33333334 2:0.19565219 3:0.0 4:1.0 5:9.46857 6:0.19565219
0 qid:1 1:0.5 2:0.27272725 3:0.0 4:1.0 5:9.39661 6:0.27272725
0 qid:1 1:0.5 2:0.31034482 3:0.0 4:1.0 5:9.26717 6:0.31034482
0 qid:1 1:0.4 2:0.25714284 3:0.0 4:1.0 5:9.22961 6:0.25714284
0 qid:1 1:0.5 2:0.27272725 3:0.0 4:1.0 5:9.21387 6:0.27272725
0 qid:1 1:0.0 2:0.39130437 3:0.0 4:0.0 5:9.21299 6:0.39130437
0 qid:1 1:0.5 2:0.2903226 3:0.0 4:1.0 5:9.19792 6:0.2903226
0 qid:1 1:0.0 2:0.27272725 3:0.0 4:0.0 5:9.12724 6:0.27272725
0 qid:1 1:0.5 2:0.2903226 3:0.0 4:1.0 5:9.11777 6:0.2903226
0 qid:1 1:0.6666667 2:0.5294118 3:0.0 4:1.0 5:9.11682 6:0.5294118
0 qid:1 1:0.5 2:0.2903226 3:0.0 4:1.0 5:9.09767 6:0.2903226
0 qid:1 1:0.0 2:0.23076922 3:0.0 4:0.0 5:9.088 6:0.23076922
0 qid:1 1:0.5 2:0.3333333 3:0.0 4:1.0 5:9.05662 6:0.3333333
0 qid:1 1:0.5 2:0.36 3:0.0 4:1.0 5:8.98365 6:0.36
0 qid:1 1:0.6666667 2:0.40909094 3:0.0 4:1.0 5:8.95757 6:0.40909094
0 qid:1 1:0.5 2:0.2903226 3:0.0 4:1.0 5:8.9523 6:0.2903226
0 qid:1 1:0.6666667 2:0.2903226 3:0.0 4:1.0 5:8.92685 6:0.2903226
0 qid:1 1:0.4 2:0.25 3:0.0 4:1.0 5:8.91292 6:0.25
0 qid:1 1:0.0 2:0.19999999 3:0.0 4:0.0 5:8.84412 6:0.19999999
0 qid:1 1:0.6666667 2:0.6923077 3:0.0 4:1.0 5:8.73082 6:0.6923077
0 qid:1 1:0.5 2:0.2903226 3:0.0 4:1.0 5:8.71809 6:0.2903226
0 qid:1 1:0.5 2:0.3333333 3:0.0 4:1.0 5:8.64664 6:0.3333333
0 qid:1 1:0.5 2:0.31034482 3:0.0 4:1.0 5:8.60866 6:0.31034482
0 qid:1 1:0.6666667 2:0.5625 3:0.0 4:1.0 5:8.60389 6:0.5625
0 qid:1 1:0.4 2:0.24324322 3:0.0 4:1.0 5:8.52945 6:0.24324322
0 qid:1 1:0.2857143 2:0.16981131 3:0.0 4:1.0 5:8.50769 6:0.16981131
0 qid:1 1:0.4 2:0.31034482 3:0.0 4:1.0 5:8.48102 6:0.31034482
0 qid:1 1:0.5 2:0.2903226 3:0.0 4:1.0 5:8.41897 6:0.2903226
0 qid:1 1:0.2857143 2:0.18367344 3:0.0 4:1.0 5:8.39702 6:0.18367344
0 qid:1 1:0.5 2:0.31034482 3:0.0 4:1.0 5:8.34945 6:0.31034482
0 qid:1 1:0.0 2:0.10344827 3:0.0 4:0.0 5:8.29828 6:0.31034482
0 qid:1 1:0.5 2:0.31034482 3:0.0 4:1.0 5:8.27396 6:0.31034482
0 qid:1 1:0.0 2:0.31034482 3:0.0 4:0.0 5:8.19413 6:0.31034482
0 qid:1 1:0.0 2:0.11764705 3:0.0 4:0.0 5:8.19292 6:0.2647059
0 qid:1 1:0.0 2:0.19565219 3:0.0 4:0.0 5:8.10931 6:0.19565219
0 qid:1 1:0.4 2:0.2368421 3:0.0 4:1.0 5:8.10931 6:0.2368421
0 qid:1 1:0.4 2:0.2647059 3:0.0 4:1.0 5:8.10813 6:0.2647059
0 qid:1 1:0.5 2:0.31034482 3:0.0 4:1.0 5:8.04935 6:0.31034482
0 qid:1 1:0.5 2:0.31034482 3:0.0 4:1.0 5:8.0203 6:0.31034482
0 qid:1 1:0.4 2:0.25 3:0.0 4:1.0 5:7.95845 6:0.25
0 qid:1 1:0.4 2:0.2647059 3:0.0 4:1.0 5:7.95845 6:0.2647059
0 qid:1 1:0.33333334 2:0.19999999 3:0.0 4:1.0 5:7.92691 6:0.19999999
0 qid:1 1:0.4 2:0.28125 3:0.0 4:1.0 5:7.92691 6:0.28125
0 qid:1 1:0.4 2:0.2093023 3:0.0 4:1.0 5:7.89354 6:0.2093023
0 qid:1 1:0.0 2:0.31034482 3:0.0 4:0.0 5:7.89354 6:0.31034482
0 qid:1 1:0.5 2:0.3 3:0.0 4:1.0 5:7.89354 6:0.3
0 qid:1 1:0.4 2:0.21951222 3:0.0 4:1.0 5:7.79422 6:0.21951222
0 qid:1 1:0.4 2:0.24324322 3:0.0 4:1.0 5:7.76081 6:0.24324322
0 qid:1 1:0.4 2:0.2368421 3:0.0 4:1.0 5:7.76081 6:0.2368421
0 qid:1 1:0.25 2:0.18 3:0.0 4:1.0 5:7.76081 6:0.18
0 qid:1 1:0.5 2:0.375 3:0.0 4:1.0 5:7.75668 6:0.375
0 qid:1 1:0.33333334 2:0.20454544 3:0.0 4:1.0 5:7.69091 6:0.20454544
0 qid:1 1:0.0 2:0.5 3:0.0 4:0.0 5:7.61931 6:0.5
0 qid:1 1:0.5 2:0.3333333 3:0.0 4:1.0 5:7.61931 6:0.3333333
0 qid:1 1:0.33333334 2:0.19999999 3:0.0 4:1.0 5:7.54508 6:0.19999999
0 qid:1 1:0.33333334 2:0.1875 3:0.0 4:1.0 5:7.54508 6:0.1875
0 qid:1 1:0.5714286 2:0.23076922 3:0.0 4:1.0 5:7.54508 6:0.23076922
0 qid:1 1:0.25 2:0.13043481 3:0.0 4:1.0 5:7.50831 6:0.13043481
0 qid:1 1:0.4 2:0.2368421 3:0.0 4:1.0 5:7.50831 6:0.2368421
0 qid:1 1:0.4 2:0.36 3:0.0 4:1.0 5:7.50745 6:0.36
0 qid:1 1:0.4 2:0.2903226 3:0.0 4:1.0 5:7.47105 6:0.2903226
0 qid:1 1:0.6666667 2:0.5 3:0.0 4:1.0 5:7.46939 6:0.5
0 qid:1 1:0.0 2:0.5 3:0.0 4:0.0 5:7.43188 6:0.5
0 qid:1 1:0.4 2:0.2368421 3:0.0 4:1.0 5:7.39423 6:0.2368421
0 qid:1 1:0.5 2:0.3333333 3:0.0 4:1.0 5:7.39423 6:0.3333333
0 qid:1 1:0.5 2:0.27272725 3:0.0 4:1.0 5:7.39423 6:0.27272725
0 qid:1 1:0.6666667 2:0.6 3:0.0 4:1.0 5:7.39423 6:0.6
0 qid:1 1:0.5 2:0.3 3:0.0 4:1.0 5:7.39423 6:0.3
0 qid:1 1:0.5 2:0.2903226 3:0.0 4:1.0 5:7.35586 6:0.2903226
0 qid:1 1:0.4 2:0.2368421 3:0.0 4:1.0 5:7.35513 6:0.2368421
0 qid:1 1:0.5 2:0.31034482 3:0.0 4:1.0 5:7.31705 6:0.31034482
0 qid:1 1:0.4 2:0.25714284 3:0.0 4:1.0 5:7.31705 6:0.25714284
0 qid:1 1:0.33333334 2:0.19565219 3:0.0 4:1.0 5:7.27805 6:0.19565219
0 qid:1 1:0.5 2:0.3 3:0.0 4:1.0 5:7.27738 6:0.3
0 qid:1 1:0.4 2:0.25 3:0.0 4:1.0 5:7.27738 6:0.25
0 qid:1 1:0.4 2:0.3333333 3:0.0 4:1.0 5:7.27738 6:0.3333333
0 qid:1 1:0.33333334 2:0.25714284 3:0.0 4:1.0 5:7.27672 6:0.25714284
0 qid:1 1:0.5 2:0.3 3:0.0 4:1.0 5:7.23849 6:0.3
0 qid:1 1:0.4 2:0.21951222 3:0.0 4:1.0 5:7.23849 6:0.21951222
0 qid:1 1:0.4 2:0.2647059 3:0.0 4:1.0 5:7.23849 6:0.2647059
0 qid:1 1:0.5 2:0.40909094 3:0.0 4:1.0 5:7.23786 6:0.40909094
0 qid:1 1:0.5 2:0.28125 3:0.0 4:1.0 5:7.19871 6:0.28125
0 qid:1 1:0.0 2:0.15789473 3:0.0 4:0.0 5:7.19871 6:0.4736842
0 qid:1 1:0.5 2:0.31034482 3:0.0 4:1.0 5:7.15963 6:0.31034482
0 qid:1 1:0.4 2:0.24324322 3:0.0 4:1.0 5:7.15963 6:0.24324322
0 qid:1 1:0.5 2:0.2647059 3:0.0 4:1.0 5:7.15907 6:0.2647059
0 qid:1 1:0.0 2:0.375 3:0.0 4:0.0 5:7.15907 6:0.375
0 qid:1 1:0.0 2:0.4736842 3:0.0 4:0.0 5:7.15852 6:0.4736842
0 qid:1 1:0.0 2:0.31034482 3:0.0 4:0.0 5:7.11936 6:0.31034482
0 qid:1 1:0.0 2:0.3 3:0.0 4:0.0 5:7.11936 6:0.3
0 qid:1 1:0.5 2:0.2903226 3:0.0 4:1.0 5:7.11936 6:0.2903226
0 qid:1 1:0.4 2:0.24324322 3:0.0 4:1.0 5:7.11936 6:0.24324322
0 qid:1 1:0.0 2:0.2647059 3:0.0 4:0.0 5:7.11936 6:0.2647059
0 qid:1 1:0.5 2:0.36 3:0.0 4:1.0 5:7.11936 6:0.36
0 qid:1 1:0.0 2:0.17647058 3:0.0 4:0.0 5:7.11885 6:0.5294118
0 qid:1 1:0.0 2:0.28125 3:0.0 4:0.0 5:7.07952 6:0.28125
0 qid:1 1:0.5 2:0.34615386 3:0.0 4:1.0 5:7.07952 6:0.34615386
0 qid:1 1:0.5 2:0.39130437 3:0.0 4:1.0 5:7.07952 6:0.39130437
0 qid:1 1:0.0 2:0.11538464 3:0.0 4:0.0 5:7.07904 6:0.34615386
0 qid:1 1:0.0 2:0.36 3:0.0 4:0.0 5:7.0396 6:0.36
0 qid:1 1:0.4 2:0.28125 3:0.0 4:1.0 5:7.0396 6:0.28125
